,NO-N,NO-S
490,109177.7795328941,226693.80242292798
491,108345.38237781219,231116.5523111978
492,119647.28013090637,230289.7271351301
493,109186.4276126487,217011.61896262554
494,113957.37396353373,201675.64176533578
495,106850.7559221416,196488.94748145636
496,101030.66607575375,204754.05113374247
497,105944.77812997054,234945.24333766452
498,111414.89061074214,217577.81361781494
499,112757.41394304247,223751.11090855606
500,114137.12463607642,220635.35851048672
501,102940.01419187375,207046.29501592598
502,103937.40929590506,184206.12164658832
503,96917.78859429783,174854.79972575285
504,96835.94069194364,205737.4758448688
505,103206.8337716824,229321.21045929135
506,101962.5561268577,224656.4050004223
507,112818.07520847826,201499.16245457414
508,104720.25139733714,195951.08543596114
509,107731.36113764512,203400.56096153654
510,102778.3844474052,185767.90592986526
511,109514.64558513524,204431.0796319453
512,110549.75289242019,203302.22844716773
513,108951.37885934133,200759.2254388737
514,113182.19930886301,215351.04810944461
515,113183.74717731719,181037.18518244266
516,105436.29643779102,173838.85896596484
517,111699.42717788639,157044.53797387108
518,121293.53108788945,191747.17116630287
519,121065.7113419812,200897.0053628676
520,115537.57854901426,215344.83672065157
521,114003.7939690123,199703.46734128142
522,110518.79748415336,201989.91623006284
523,110195.59999337778,176095.3385781958
524,108700.16696320876,189576.33637175028
525,112512.07818934937,208436.6427379618
526,104556.65860817002,190892.23537979985
527,97807.09237628616,188609.85723344266
528,94351.60625088897,181944.63366057404
529,94976.90857428953,178813.76080553848
530,92615.1728128086,170016.94185379473
531,97122.86856302786,159250.51602383828
532,96151.19819123168,167522.39507542437
533,93657.77547706374,194062.19657148194
534,96855.81595115461,191742.08829999864
535,97007.70718979156,207177.74041012692
536,104856.79744157492,187254.37014764824
537,97887.81332865731,179138.02571320508
538,100439.25451683946,147798.71336503464
539,110808.35081991638,207150.95996500985
540,103788.45709431136,176691.91435642567
541,106645.45677447547,194840.35707709804
542,110065.85749903062,173664.56722783798
543,104634.04761199711,161432.1682217396
544,104745.95486618919,152092.57401990474
545,99904.40750666862,148576.77138323605
546,103440.62190282547,177162.55229457573
547,102528.28822869924,182758.19055892556
548,100527.23146978306,186238.9900440107
549,104182.94277549315,188540.3777992605
550,98396.54697463682,181125.03553150513
551,91484.37096662702,149799.4401670985
552,86609.45589032836,178072.3059172416
553,95059.74997411353,194740.6558810518
554,95598.1247912689,189118.58209147368
555,94203.2707508681,183848.8875331906
556,94955.84003146626,185894.31812547252
557,91831.7535755621,191151.44469438796
558,87340.73914157748,161657.4123936909
559,85161.36081996569,148612.08298615526
560,94427.2587813494,164546.25752473867
561,95428.23026109421,171250.28775912407
562,92479.5888592743,169807.2899475508
563,91452.70934828068,168288.15030514405
564,98250.45654617439,173135.03863341344
565,99074.40004019176,146940.74949749187
566,96584.85313751701,142622.0736036757
567,103808.5950656624,191796.12084419414
568,107319.08735022563,188076.8774830784
569,106442.84856618501,170219.448400665
570,103710.33432852518,164301.589304829
571,113327.0529610959,163155.44962327703
572,110238.01740658535,151948.78668134866
573,97911.08469779135,143478.95766951804
574,107861.05978936421,177486.5380722984
575,101009.06339975483,183008.86148654053
576,102882.8644311343,187763.55858552092
577,96598.72674116997,200455.5020528362
578,96511.47313101694,192859.92220094724
579,89809.22520123381,181545.6235417687
580,92499.93431369177,188907.5445688697
581,103482.18172794087,198328.70944552528
582,112542.86417700048,202124.89219591214
583,115203.26932713455,204785.44859255574
584,105858.0681173293,190268.65565067995
585,102762.2644656225,180119.26714839847
586,101818.18654763556,160382.79655049444
587,92836.53725663593,144906.97427056343
588,103678.21460499105,163230.13749759362
589,105242.73736095666,165337.63822966715
590,105595.74076410898,175870.083350323
591,104748.55314166316,170024.06006905742
592,103799.00100951514,165989.2256810331
593,96538.03573890687,146758.77457802786
594,96221.91130777885,158470.9706777838
595,113187.88864381552,182861.83291662758
596,114881.01327068478,188690.12270733796
597,113905.16773091114,189688.58212656155
598,112518.66539468923,208653.27661799386
599,107580.04102877209,204543.92377300395
600,99469.3507402515,181608.31052650235
601,93361.3570695637,197249.51795794774
602,100567.80043863726,200873.48827192115
603,105458.77108774164,187265.5282015424
604,103195.73216459603,171316.07756636365
605,103439.65924494919,184050.1793512704
606,103094.15895181759,187396.18260176398
607,97382.59703285212,198326.15743204605
608,100615.68495290012,203270.2972355648
609,100825.40006110733,196762.76051577888
610,102162.59950083471,211611.56428046996
611,99332.7446065491,203908.31963913812
612,96136.30895810091,206832.70471743017
613,95764.92956178231,196454.93918072514
614,96502.15111310857,176338.95530527434
615,92445.99102895345,167565.79422758456
616,103774.27828657045,189127.51763806527
617,107369.05048747492,191684.89860095014
618,103537.06138274513,184262.17258189802
619,97970.5729486722,181596.43590919292
620,106049.9425840074,187522.17605064966
621,89955.53197584827,182652.5918444107
622,92616.2542535306,162450.50508668253
623,102942.61180320205,198194.11165754747
624,102844.18784208377,208796.39063412618
625,105162.32185798568,195276.31828209118
626,103843.80923905216,213400.54898814982
627,111274.1914246258,212255.21297344388
628,109226.37776987522,204846.83134818447
629,100084.8772482609,218795.22531724727
630,116990.4742505238,187334.98986370172
631,107321.71508218622,204808.56059879833
632,111506.80480733166,225862.9380576457
633,107946.56689912474,218136.52863170157
634,103472.14606586937,208552.38855032276
635,106848.48623296482,207978.54698304718
636,106287.47890250395,204161.3143095254
637,109563.93340888422,210921.08249927868
638,111464.1106896095,210361.95683090686
639,112078.5102756358,213512.38788794802
640,101610.4137974754,217551.20426453266
641,100699.03582678821,220609.287243055
642,101850.03125298502,187421.49922499785
643,107366.90005743026,217658.00977060915
644,120995.72409799344,239417.21700566
645,125731.78106051631,228458.00754637652
646,124768.54100726379,237819.8158598551
647,120527.72398073558,249272.01850293536
648,125208.0924483412,226919.63653889264
649,117033.73782300245,188468.52501690466
650,116097.73989374215,188523.64452579664
651,128182.76587318412,229715.06528852473
652,128133.83535810297,235293.84176868203
653,130005.23058610121,224562.6090927089
654,127475.90444237457,242262.96480116463
655,123551.56112417512,238739.5932145199
656,119645.40265723469,209385.62501266337
657,113084.45977460303,233530.9143600071
658,122425.88118912489,242300.71544250322
659,125281.07802880042,245575.3412866313
660,126416.12506615394,257340.90094253042
661,123891.1817798994,241962.12887376436
662,120715.2819598082,247286.18712975126
663,118937.73278998767,205428.44856400604
664,118956.45805708959,210593.2382716008
665,120953.65889222024,232227.26564267132
666,120825.6647481129,255483.1906828569
667,114293.93700942688,248720.08600654113
668,109881.58393594023,269275.9128508562
669,112275.48894977392,255081.88837226777
670,112009.87512553748,221766.64802945865
671,112001.1240419036,242730.48937353285
672,114560.65439506559,280307.6564475311
673,110608.7290575956,278738.24177980213
674,114369.99754419258,272037.4044757205
